gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000021360	20.189660335617	3.04029729554019	1.03685062380574	1.13758041642564e-05	0.00122733282408379
ENSAPLG00000021388	98.8070485449319	1.2166163812946	0.592216707970246	5.14917376981859e-05	0.00425023969843701
ENSAPLG00000021440	228.364654878559	1.16258721753615	0.587673395057399	6.24457091441745e-05	0.00503312415702047
ENSAPLG00000021604	28.0350441588364	2.54241367061874	0.891239452222644	1.61199173808438e-05	0.00164832170113672
ENSAPLG00000021772	71.9732317735304	0.675978084833409	0.410053634725754	0.000335891181501035	0.0185579877779322
ENSAPLG00000021783	34.0136739878437	0.956766813998201	0.713263865541459	0.000333801158875209	0.0185579877779322
ENSAPLG00000021906	12.5540307023904	-1.64348293354402	0.971225083264919	0.000128643101518918	0.00851530327059041
ENSAPLG00000022011	53.0887568503644	4.71753458549371	0.703617487107672	4.41228995510334e-13	2.08473092982158e-10
ENSAPLG00000022099	21.613244273377	-2.45968708037377	1.09798827865477	4.20004064110169e-05	0.00359680980402346
ENSAPLG00000022262	2277.15134837344	4.28774078318913	0.815686720156959	4.78475326025763e-09	1.00862598726231e-06
ENSAPLG00000022275	14.9157774272451	2.32785153124667	1.27010378022048	8.03533000756113e-05	0.00601639845702747
ENSAPLG00000022295	468.853464624528	1.99110084567555	0.347625487149044	1.34827648478542e-09	3.07901406575498e-07
ENSAPLG00000022634	54.2290626079753	2.5951171597902	0.606680806463203	9.10844388741107e-07	0.000135656411027507
ENSAPLG00000022691	232.662174912486	0.736154366308494	0.400425889877648	0.000185113833070668	0.011223140445727
ENSAPLG00000022699	38.0194110743109	-0.858730017637175	0.412664916767172	7.06291584786274e-05	0.00549864050837587
ENSAPLG00000023034	120.624577554623	1.2002673807285	0.274256976097934	8.84627048870358e-09	1.78252350347377e-06
ENSAPLG00000023306	90.0113524736106	0.594066482115101	0.309096118201461	0.000356324863100336	0.0191387553166252
ENSAPLG00000023370	164.606193462173	4.02954844364266	0.478543589000578	2.17656663108795e-18	3.7776293763755e-15
ENSAPLG00000023730	300.174863621857	1.75720070324459	0.564119787512707	6.50452649447979e-06	0.000753365137601486
ENSAPLG00000023763	979.892109924696	3.00667226505968	0.333614750877768	4.28321461021705e-20	1.17377213178388e-16
ENSAPLG00000023847	27.4713280405535	0.830391268661754	0.502741002682859	0.000198515325572105	0.0117784518206262
ENSAPLG00000024911	13.8745912159259	1.21767136536767	0.856156602372336	0.000243018445685616	0.0141695265650396
ENSAPLG00000025168	70.4551360171574	0.946323630133736	0.604827658778437	0.000198571184539823	0.0117784518206262
ENSAPLG00000025543	6.09714782827008	-0.986294901309867	1.52194171942036	0.00105858131525385	0.0436887987397839
ENSAPLG00000025609	142.720433157566	1.11014254327294	0.787005207997122	0.000257813583982634	0.0148426963350002
ENSAPLG00000025655	260.755105195056	2.19868422495534	1.6236790272609	0.000153857255014501	0.00975996346392916
ENSAPLG00000025790	38.8934634999133	-0.586845052713653	0.376134027443616	0.000600182436839482	0.0284557084760366
ENSAPLG00000025822	92.0862572733805	1.33195786934756	0.63792731433742	4.91150312318838e-05	0.00412867581557835
ENSAPLG00000025863	184.675007541044	2.60116252389048	0.371614196445065	7.60345624319555e-13	3.36072765949243e-10
ENSAPLG00000026217	5.94674100628357	1.4491764437665	1.71436644727941	0.000483731249686801	0.0240148028377121
ENSAPLG00000026262	99.5275254262685	0.716174986796666	0.266612293977283	3.73057608522639e-05	0.00329782925934013
ENSAPLG00000026479	99.3649452298135	0.788154478528989	0.379011247549561	9.17030232494096e-05	0.00679197202466709
ENSAPLG00000026828	135.032317669621	0.861190063065267	0.294478592682985	6.97820464096548e-06	0.000796794666587576
ENSAPLG00000026902	12.207398141302	1.87410042907943	1.01475279450797	9.36741464901434e-05	0.0069006621247739
ENSAPLG00000027117	473.887123167025	2.10875437188736	0.325090602120423	2.30404689805229e-11	7.17501149934373e-09
ENSAPLG00000027465	50.8554888191954	5.14173060597873	0.623012529163151	2.20559297993023e-18	3.7776293763755e-15
ENSAPLG00000027592	21.7572752609955	2.2201628776798	0.40820302789319	8.77152667482866e-09	1.78252350347377e-06
